,city,Area,education,remote,experience,fulltime,label,Target,labelTree
596,3,3,1,2,1,1,5,3,6
597,3,3,1,2,1,1,5,3,6
598,3,3,1,2,1,1,5,1,6
599,3,1,1,1,1,2,2,2,3
600,2,2,2,2,2,2,3,3,4
601,2,2,2,2,2,2,3,2,4
602,2,2,2,2,2,2,3,2,4
603,2,3,2,2,2,2,3,3,4
604,2,2,2,2,2,2,3,2,4
605,1,3,2,1,2,1,1,2,2
606,3,3,1,2,1,1,5,5,6
607,3,3,1,2,1,1,5,3,6
608,3,3,1,2,1,1,5,2,6
609,2,3,2,2,2,2,3,3,4
610,3,3,1,2,1,1,5,3,6
611,1,1,2,2,2,1,2,2,3
612,2,2,2,2,2,2,3,5,4
613,2,3,2,2,2,2,3,4,4
614,2,2,1,2,1,1,5,5,6
615,2,2,2,2,2,2,3,2,4
616,3,3,1,2,1,1,5,3,6
617,3,3,1,2,1,1,5,4,6
618,2,2,2,2,2,2,3,2,4
619,2,2,1,2,1,1,5,4,6
620,2,2,1,2,1,1,5,5,6
621,3,3,1,2,1,1,5,5,6
622,2,2,2,2,2,2,3,2,4
623,2,2,1,2,1,1,5,3,6
624,3,3,1,2,1,1,5,5,6
625,2,2,1,2,1,1,5,3,6
626,2,3,2,2,2,2,3,2,4
627,1,3,2,1,2,1,1,1,2
628,2,2,2,2,2,2,3,5,4
629,1,3,2,1,2,1,1,2,2
630,3,1,1,2,1,1,5,3,6
631,2,2,1,2,1,1,5,3,6
632,3,3,1,2,1,1,5,5,6
633,3,3,1,2,1,1,5,3,6
634,3,1,1,2,1,1,5,3,6
635,2,3,2,2,2,2,3,3,4
636,2,3,2,2,2,2,3,3,4
637,3,3,1,2,1,1,5,2,6
638,2,2,1,2,1,1,5,3,6
639,1,3,2,1,2,1,1,1,2
640,2,2,2,2,2,2,3,1,4
641,3,3,1,2,1,1,5,3,6
642,2,2,2,2,2,2,3,2,4
643,2,2,2,2,2,2,3,5,4
644,2,2,2,2,2,2,3,2,4
645,3,3,1,2,1,1,5,5,6
646,3,3,1,2,1,1,5,3,6
647,2,2,1,2,1,1,5,3,6
648,2,2,1,2,1,1,5,4,6
649,3,3,1,2,1,1,5,3,6
650,3,3,1,2,1,1,5,3,6
651,2,2,1,2,1,1,5,3,6
652,3,1,1,2,1,1,5,3,6
653,2,2,1,2,1,1,5,5,6
654,3,3,1,2,1,1,5,5,6
655,2,2,2,2,2,2,3,3,4
656,3,3,1,2,1,1,5,3,6
657,2,2,2,2,2,2,3,2,4
658,2,2,2,2,2,2,3,3,4
659,3,3,1,2,1,1,5,5,6
660,1,1,2,2,2,1,2,2,3
661,2,2,2,2,2,2,3,3,4
662,2,3,2,2,2,2,3,5,4
663,3,3,1,2,1,1,5,4,6
664,3,3,1,2,1,1,5,2,6
665,1,3,2,1,2,1,1,1,2
666,2,2,2,2,2,2,3,3,4
667,2,3,2,2,2,2,3,3,4
668,2,2,2,2,2,2,3,5,4
669,3,3,1,2,1,1,5,5,6
670,3,1,1,2,1,1,5,2,6
671,2,2,2,2,2,2,3,3,4
672,1,3,2,1,2,1,1,1,2
673,3,3,1,2,1,1,5,2,6
674,3,3,1,2,1,1,5,3,6
675,3,3,1,2,1,1,5,2,6
676,3,3,1,2,1,1,5,5,6
677,2,2,1,2,1,1,5,5,6
678,2,2,2,2,2,2,3,1,4
679,2,3,2,2,2,2,3,5,4
680,2,2,1,2,1,1,5,3,6
681,1,3,2,1,2,1,1,1,2
682,2,2,2,2,2,2,3,2,4
683,2,2,2,2,2,2,3,5,4
684,3,3,1,2,1,1,5,5,6
685,2,2,2,2,2,2,3,3,4
686,3,1,1,1,1,2,2,5,3
687,1,3,2,1,2,1,1,2,2
688,2,2,1,2,1,1,5,3,6
